First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
4,4,1,0,7,0,1,0,2,0,125,12,3,1,10,87,10,7,0,7,85,10,9,2,5,131,10,12,2,5,4,9,1,2,12,98,9,1,10,1,60,8,1,7,1,81,9,2,3,1,84,8,2,5,1,12,6,1,7,6,1
8,0,0,1,2,0,1,0,0,0,103,11,3,4,3,101,10,5,1,9,118,11,9,3,6,116,9,4,3,2,19,9,0,5,12,78,10,1,4,5,91,11,3,4,6,122,11,2,4,1,106,9,8,4,0,15,9,2,5,7,1
6,3,1,0,2,0,0,0,0,0,107,10,8,2,2,92,10,0,2,11,101,11,5,2,2,104,9,5,3,2,11,8,0,2,6,100,10,3,5,1,81,9,4,4,3,99,9,0,4,1,117,9,3,2,3,26,8,1,3,5,1
7,7,0,2,1,1,0,1,0,0,111,10,2,3,1,154,12,2,1,1,98,10,4,4,3,77,8,1,6,0,24,8,1,2,4,118,10,2,3,1,92,10,3,0,3,121,11,4,2,2,104,10,5,3,4,7,8,2,2,8,1
1,4,1,1,2,1,1,0,0,0,95,10,2,5,3,90,9,3,1,1,112,10,4,4,2,120,9,3,2,1,4,7,0,3,5,97,10,1,3,3,109,10,0,1,4,65,10,6,3,2,102,9,3,3,3,22,8,5,2,7,-1
2,6,0,1,0,2,0,1,0,0,64,8,0,5,3,91,10,7,1,3,122,10,1,1,2,120,8,1,2,2,22,8,1,2,6,119,11,4,3,2,109,10,3,1,1,118,11,1,0,0,106,9,2,2,3,5,7,1,4,3,-1
7,3,0,1,1,0,1,0,0,0,85,10,1,2,1,78,9,6,2,2,5,7,0,1,5,139,9,2,0,4,123,10,2,2,0,5,7,0,3,1,92,9,3,4,1,144,11,1,0,2,110,8,0,3,2,134,11,3,1,2,-1
7,1,1,1,2,2,1,0,0,0,127,11,3,0,1,95,9,2,4,9,109,10,9,5,2,94,8,1,7,5,21,8,1,4,6,110,11,2,2,0,78,9,4,5,7,132,11,4,2,2,122,10,10,2,3,13,8,0,5,9,1
2,0,0,1,1,1,1,0,0,0,94,10,0,2,3,113,10,7,1,2,125,10,2,2,1,127,9,2,4,3,10,7,1,3,6,112,10,2,2,2,92,9,3,2,4,119,10,3,2,0,101,10,3,1,5,12,8,1,5,9,1
2,4,1,0,1,0,1,0,0,0,112,10,0,3,4,108,10,11,0,2,92,10,2,0,8,105,10,2,1,9,22,8,3,2,7,140,11,2,2,1,84,9,0,5,2,124,10,1,2,0,100,8,1,5,1,4,7,2,4,2,1
2,2,2,0,1,0,1,0,0,0,85,10,3,4,0,106,9,2,3,1,7,8,2,0,6,128,9,1,2,3,107,11,4,2,3,82,10,3,3,3,82,9,3,3,4,118,11,3,1,5,86,8,0,4,0,22,8,2,1,6,1
2,3,1,0,4,0,1,0,0,0,123,11,1,1,4,91,10,7,0,6,126,12,11,0,1,103,9,6,2,2,6,8,0,1,11,79,9,0,7,1,108,9,1,4,1,89,9,1,6,0,87,8,1,4,0,10,7,2,5,1,1
