champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
84,15,10,10,14425,59,2,34,8,13176,112,14,20,9,15130,99,6,30,6,13516,104,10,15,11,16015,25,9,27,9,14708,147,3,35,11,13240,266,14,19,11,16429,103,4,17,11,12701,18,14,14,5,17042,1,1,2,4,0,0,0,0,0,0,-1
7,22,10,8,16080,89,3,29,10,11359,147,5,30,7,12132,145,12,16,6,14756,497,0,37,6,11329,126,8,21,9,12344,99,1,31,7,11350,13,9,18,10,14647,518,2,18,9,10490,110,17,14,8,13852,-1,-1,4,2,0,0,0,0,0,0,1
523,4,12,7,9906,432,3,15,6,10225,39,8,15,8,12796,98,3,14,6,9697,134,17,13,7,14078,267,1,27,6,9284,201,1,31,7,9528,236,13,18,8,12714,63,8,9,7,10579,145,11,5,7,12157,-1,1,4,2,0,0,0,0,0,0,1
57,4,13,10,8768,122,9,5,8,10541,350,1,20,5,7681,99,4,11,7,8586,8,6,11,7,8884,21,6,17,4,9647,147,4,28,4,9113,110,12,15,5,10764,85,3,27,4,9168,55,12,19,7,11025,-1,-1,1,4,0,0,0,0,0,0,-1
1,4,16,8,9551,13,5,16,8,9974,223,7,15,8,9952,106,5,17,8,9591,236,11,12,10,11739,50,3,28,8,10334,107,15,14,10,12340,133,10,14,3,11544,161,4,19,4,10109,238,9,19,7,11402,-1,-1,1,4,0,0,0,0,0,0,-1
157,9,15,8,12175,236,16,19,8,15534,50,11,23,6,12450,113,3,23,11,10645,350,1,39,5,10719,13,5,19,7,11393,51,10,16,9,12703,12,3,14,9,9651,40,3,30,9,10394,517,16,19,6,14000,1,1,4,2,0,0,0,0,0,0,1
34,4,24,8,17791,8,11,24,10,19169,19,8,16,12,17365,67,10,12,9,19384,1,16,21,10,18698,83,9,27,6,18793,38,6,24,9,16196,96,9,24,13,17968,555,15,14,11,18718,61,10,30,10,18985,-1,-1,4,2,0,0,0,0,0,0,1
223,3,22,8,10529,236,6,23,4,12092,122,10,14,9,11265,90,10,17,6,13040,55,7,12,10,10457,412,4,25,7,10076,420,3,24,7,9356,20,6,20,10,9835,7,12,14,8,11522,76,12,19,5,13165,-1,1,4,0,0,0,0,0,0,0,1
43,8,34,8,12649,51,22,14,9,15969,120,16,18,15,13860,267,6,47,6,12731,523,7,26,9,13456,4,0,21,16,9875,10,10,30,11,13721,238,17,14,12,14162,91,11,20,8,14237,110,9,28,12,12774,1,1,4,1,0,0,0,0,0,0,1
8,14,13,9,12640,103,14,15,7,12827,110,9,22,7,11916,24,8,14,10,10983,523,3,11,9,9348,62,9,10,8,10616,7,6,16,9,9836,32,8,23,11,11413,21,8,20,13,11435,115,11,18,8,11997,1,-1,4,1,0,0,0,0,0,0,1
60,7,13,9,12490,12,4,23,10,11312,90,10,15,9,15314,43,4,17,8,11083,26,7,20,5,12062,89,6,21,8,12103,40,3,34,4,12358,711,17,15,7,15704,117,4,33,5,12192,104,10,21,8,14711,1,-1,1,4,0,0,0,0,0,0,-1
99,14,24,10,14100,8,16,18,11,15135,131,5,20,11,11076,78,4,19,12,10857,89,6,25,10,11071,143,9,31,5,13124,115,11,22,9,12937,58,12,21,12,13422,4,10,17,12,12957,120,12,23,8,13410,1,-1,0,4,0,0,0,0,0,0,-1
23,4,6,6,9635,163,0,4,9,8410,360,11,7,5,12311,90,4,7,4,10213,18,3,4,5,9843,74,7,15,3,10827,267,1,20,5,8488,25,6,19,4,10282,161,9,9,3,10534,246,6,9,7,9189,-1,1,4,1,0,0,0,0,0,0,1
43,4,20,3,9149,51,6,14,3,10059,67,8,11,4,10830,81,6,14,3,10569,711,5,17,5,9054,350,0,16,3,7761,126,10,7,5,10895,102,3,4,7,7843,201,1,14,6,7890,523,4,4,8,9746,1,1,4,1,0,0,0,0,0,0,1
161,2,12,11,11684,876,4,16,11,13134,203,7,8,15,12973,92,7,6,14,12504,35,12,5,18,14009,145,15,33,3,15440,99,4,45,6,13555,104,23,18,8,17287,19,8,13,8,12575,81,19,18,7,15442,-1,-1,0,4,0,0,0,0,0,0,-1
8,13,25,5,14398,29,14,27,6,14459,875,14,28,10,15291,22,2,32,6,12107,53,6,21,9,11786,67,13,10,8,14318,203,3,19,11,11082,164,9,15,11,13165,412,2,25,11,10854,115,9,17,8,13305,1,-1,4,2,0,0,0,0,0,0,1
777,5,12,10,12060,235,9,17,6,13657,76,9,22,5,12939,58,12,9,10,12882,17,5,18,5,12136,55,12,15,12,13096,222,7,23,7,12987,31,5,22,7,12246,1,7,19,9,11385,61,5,25,5,11050,-1,1,4,1,0,0,0,0,0,0,1
