champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
154,5,18,9,9058,141,16,12,7,16236,134,11,13,4,13382,236,17,14,6,19696,555,17,15,10,15518,14,4,10,13,11342,91,4,3,14,10714,131,10,10,12,13254,18,11,8,17,13529,267,7,14,10,12134,1,1,10,2,2,1,1,0,0,1,1
134,4,5,5,9886,238,6,4,4,10007,34,11,7,2,12356,222,7,8,6,9926,40,3,18,5,7751,80,7,4,2,9129,64,4,4,3,8508,13,4,3,8,8487,18,5,6,8,9283,526,2,6,10,5586,-1,1,6,1,0,2,1,0,0,0,1
19,2,0,4,8138,64,1,4,5,7423,134,3,0,4,7694,147,2,3,6,7176,497,1,3,3,4840,157,7,3,1,9108,79,4,7,2,8221,81,3,8,1,9674,24,4,2,2,9154,99,4,4,3,6696,1,-1,2,4,0,2,2,0,0,0,-1
107,16,14,5,18340,238,10,13,9,14000,99,9,17,10,16161,222,12,12,7,19052,412,0,34,11,9983,777,4,5,6,13645,234,4,7,14,10311,7,9,12,6,13962,523,20,12,9,22401,201,5,25,12,11123,-1,-1,9,5,3,3,2,0,2,0,1
516,6,19,3,14303,254,10,16,8,14293,53,4,27,11,9865,119,20,12,8,20061,517,6,14,4,13936,69,6,7,6,12312,20,7,10,9,13183,234,4,7,13,12577,81,14,6,7,16917,111,3,19,11,9008,1,-1,9,4,1,3,0,1,1,1,1
6,3,8,2,15173,76,14,8,2,15606,84,4,7,9,11588,236,8,10,13,16116,267,4,20,6,10490,92,5,8,6,11406,78,6,6,8,10336,13,10,7,4,18261,202,11,6,6,15088,89,0,17,9,7871,1,-1,9,4,3,2,0,1,1,0,1
78,15,8,3,16707,245,4,9,3,13403,39,8,2,3,13398,202,6,15,2,13226,26,2,21,9,9304,6,2,5,11,10566,64,3,10,2,10600,142,6,4,5,13155,523,9,3,8,14374,117,0,15,9,7597,1,1,10,2,1,3,1,1,1,1,1
223,5,13,3,12744,246,15,9,4,16117,68,8,12,6,11930,81,7,13,5,12898,147,2,26,3,9287,27,3,4,6,10300,91,2,7,8,10870,45,5,6,7,12250,236,7,4,8,13818,526,4,10,8,8400,-1,1,7,5,3,1,1,0,1,0,1
75,9,5,6,13879,245,8,12,3,12270,238,17,4,8,16421,111,1,13,5,7942,147,3,16,7,11772,23,9,6,5,15445,234,9,5,7,12710,711,5,9,6,10619,202,4,10,9,10530,37,2,16,11,7965,1,-1,7,4,4,0,0,1,1,0,1
777,1,2,6,7313,81,3,1,9,6461,102,2,2,4,7284,350,1,7,3,5209,164,4,3,5,7557,147,4,6,0,8653,236,14,5,2,13779,267,2,18,1,7799,54,5,8,6,8152,154,2,10,2,6557,1,-1,2,10,3,0,2,0,0,0,-1
266,17,2,3,14734,350,2,20,4,8616,81,4,8,10,9544,120,7,11,5,10983,61,3,10,1,13650,112,4,6,4,11896,523,13,6,8,15964,117,1,18,6,7454,78,0,9,6,8399,19,5,5,9,8787,1,1,7,4,3,1,2,0,1,0,1
112,6,6,2,11910,54,6,10,3,11222,106,2,11,3,9307,498,14,14,5,16003,497,2,21,3,8357,99,2,3,3,9029,6,3,3,5,11469,222,3,5,7,10144,154,5,6,7,9999,35,3,10,8,8381,-1,1,7,2,2,2,2,0,0,0,1
51,20,6,11,17107,89,3,21,10,7457,54,5,12,9,8567,98,1,8,8,7275,48,7,11,9,9087,126,9,10,5,16501,254,5,8,8,10389,517,12,5,11,11899,110,6,15,8,11669,555,15,9,4,14728,-1,-1,0,9,1,2,0,2,0,1,-1
39,13,4,11,13862,201,0,20,7,7511,61,6,16,7,13698,51,4,8,9,11473,245,9,8,9,12147,24,19,9,3,19712,254,10,11,8,13561,69,4,10,10,11234,203,7,13,6,13951,412,3,18,5,8465,-1,1,3,9,0,4,2,0,0,1,-1
234,9,5,14,14101,102,13,6,6,14830,136,3,8,8,9515,51,6,8,9,11359,99,6,14,12,12019,887,14,10,7,18585,254,11,12,8,13311,7,10,7,2,13764,81,14,7,7,15782,89,0,21,13,8533,-1,-1,6,10,4,1,0,1,0,1,-1
875,9,2,1,8958,64,5,5,1,7092,103,1,1,0,6774,96,6,0,1,8201,117,0,8,1,5504,777,0,2,9,4639,113,3,1,3,5170,112,0,0,3,5236,360,1,1,4,4554,48,0,0,2,3327,1,1,6,0,2,0,1,0,0,0,1
117,1,11,7,6531,75,4,4,8,8988,13,2,4,12,8203,51,18,7,5,16733,555,8,12,10,12179,112,13,16,4,14682,56,14,8,6,13773,266,8,10,3,13509,523,4,5,8,11654,63,3,5,13,7503,1,-1,2,10,0,4,0,1,0,1,-1
104,13,5,1,12043,106,4,3,3,9826,85,12,6,2,11991,51,8,9,7,9917,43,1,22,8,7481,98,0,4,9,6072,102,8,6,3,11307,24,2,2,9,7200,360,8,8,10,11096,111,3,15,7,8760,1,1,11,2,2,2,2,0,0,0,1
91,4,4,7,9132,111,1,11,8,5694,84,6,4,9,9134,202,4,2,6,8070,8,6,5,6,9457,887,8,5,7,10676,56,3,5,3,8714,497,1,14,4,7956,29,10,6,5,11088,39,14,4,2,13522,1,-1,0,9,1,2,0,2,0,1,-1
126,10,4,2,13085,77,6,17,0,9878,4,4,12,2,10466,236,9,7,5,10484,267,4,20,1,7694,104,0,3,8,6254,120,3,0,9,7068,517,4,2,5,7251,18,2,3,4,8009,89,1,2,7,4343,1,1,10,0,2,0,2,0,0,0,1
875,7,6,0,11105,91,5,9,2,10030,4,5,11,1,11608,236,9,8,3,11081,267,1,17,2,7280,106,0,3,6,5581,202,5,2,6,7943,412,2,5,7,5669,164,0,0,5,5949,61,1,1,3,8015,-1,1,9,0,1,2,2,0,1,0,1
