First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
7,0,1,2,2,5,0,1,0,0,146,12,1,5,1,125,12,4,4,2,150,12,3,6,1,167,11,2,3,2,12,9,1,2,3,186,13,3,3,0,151,13,7,1,6,166,13,4,2,3,115,11,3,5,3,25,9,3,0,9,-1
6,4,1,1,4,2,0,1,0,0,131,12,4,4,1,132,12,4,5,9,200,14,8,2,10,134,11,11,4,4,23,10,1,6,16,165,12,5,5,1,115,12,7,5,5,151,12,5,6,4,121,10,1,8,9,14,10,3,4,11,1
3,0,2,0,1,4,0,2,0,0,144,13,3,4,2,149,12,3,3,1,176,13,2,5,1,183,12,5,3,1,29,10,0,4,4,151,13,1,4,4,116,11,6,4,3,170,13,5,1,3,162,12,6,2,3,24,9,1,2,10,1
3,0,2,0,1,3,2,0,0,0,153,11,0,4,0,141,11,2,5,3,156,12,8,4,3,142,11,2,4,4,24,10,4,5,10,140,13,6,1,1,146,12,5,1,11,141,12,7,7,4,130,12,3,4,13,4,10,1,3,16,-1
4,8,0,2,1,4,0,2,0,0,165,12,1,2,0,122,11,2,3,4,111,11,0,7,3,135,11,9,6,4,22,9,2,3,9,186,13,4,3,2,170,13,1,1,6,146,12,7,2,3,130,11,5,4,1,6,8,4,4,11,-1
7,7,2,1,3,5,1,1,0,0,117,11,1,7,1,90,11,4,10,6,128,11,2,6,2,176,12,6,5,4,16,9,4,10,6,132,12,4,4,3,137,13,19,2,7,112,12,7,5,4,179,13,5,3,4,23,11,3,3,20,-1
6,6,1,1,3,2,1,1,0,0,113,11,2,3,5,152,13,7,5,7,86,11,12,1,5,172,12,3,2,9,11,9,2,3,15,139,10,1,8,1,115,11,4,2,3,157,11,4,6,5,140,11,4,2,3,5,9,1,8,7,1
6,9,0,3,1,3,1,0,0,0,133,12,1,9,1,116,11,3,3,3,152,12,3,2,0,151,11,1,6,0,10,9,0,3,6,127,13,5,1,5,127,11,3,2,2,159,13,10,2,3,164,12,4,1,2,33,9,1,2,7,-1
9,1,2,0,4,1,2,0,0,0,104,11,5,2,6,173,13,8,2,7,169,12,2,0,13,133,10,1,1,6,3,8,1,3,7,108,10,1,5,2,122,10,2,6,1,146,11,1,3,1,154,10,2,1,4,27,8,2,2,4,1
9,7,1,1,6,1,0,1,0,0,207,14,3,0,0,113,11,8,4,7,148,12,1,5,9,171,12,8,3,5,6,9,1,4,11,150,12,0,2,4,95,11,6,4,4,184,13,6,6,1,157,11,4,6,2,26,9,0,3,8,1
4,9,0,2,6,4,1,0,0,0,216,14,2,5,6,81,10,2,8,6,117,12,7,3,4,153,11,9,6,4,8,10,2,5,13,193,14,6,2,2,120,12,7,5,9,130,13,10,3,4,117,10,3,7,6,27,9,1,5,10,-1
3,8,0,2,1,5,0,2,0,0,156,12,2,4,3,96,12,10,8,5,109,11,5,9,6,136,11,4,7,2,27,10,2,8,8,155,12,1,5,3,110,12,12,7,6,136,14,13,2,8,193,13,8,2,5,21,10,2,7,17,-1
8,0,2,0,7,0,1,1,1,0,201,14,7,1,7,131,13,7,3,7,98,11,9,8,7,163,12,6,2,7,25,10,2,1,17,55,9,1,8,6,93,10,1,8,3,161,12,3,8,1,158,11,6,3,6,11,10,4,4,8,1
4,4,1,0,8,0,2,0,1,0,124,13,3,3,6,135,12,3,5,5,150,13,14,6,5,182,13,17,4,4,12,11,6,3,18,122,12,5,7,2,78,10,4,11,7,112,12,5,8,5,114,12,7,8,7,20,10,0,9,10,1
10,6,1,1,0,9,0,1,0,2,58,9,3,5,2,88,9,1,8,3,101,9,3,2,3,131,10,3,5,1,6,8,0,3,6,211,13,1,0,2,121,12,9,3,4,159,13,10,2,5,141,11,2,1,6,10,9,1,4,13,-1
5,4,2,0,5,0,0,1,0,0,200,15,5,2,1,113,11,9,2,6,127,12,5,1,4,217,13,5,2,10,5,10,2,1,13,185,12,1,4,1,118,11,3,4,3,164,12,2,5,0,129,10,2,8,1,11,9,0,5,4,1
6,9,0,3,3,4,2,0,0,0,159,13,3,2,2,126,11,2,3,3,171,12,0,3,2,162,11,2,5,0,15,8,1,4,2,145,11,1,4,1,124,12,3,2,12,206,14,6,1,1,184,11,3,1,8,31,10,4,0,7,-1
10,0,1,2,4,3,0,1,0,0,124,13,3,2,3,128,11,7,1,1,123,12,9,5,4,127,11,0,6,5,15,10,2,2,13,157,12,2,4,2,133,11,3,5,1,120,11,3,5,3,157,12,7,2,4,19,9,1,5,12,1
3,2,2,0,4,0,1,0,0,0,112,10,3,2,0,107,10,4,0,7,141,11,8,1,2,128,10,4,2,5,20,8,4,2,9,84,9,0,4,1,89,9,4,2,1,89,9,1,5,2,76,8,0,8,3,11,8,2,4,1,1
10,7,2,0,2,5,0,2,0,0,174,13,2,4,0,104,11,5,2,6,119,10,2,5,4,118,11,3,4,3,13,8,0,6,6,165,12,2,3,1,120,11,8,1,4,120,11,4,1,7,187,12,3,4,6,21,8,4,3,10,-1
7,2,0,3,2,5,1,1,0,0,107,11,0,3,7,134,12,6,2,4,146,12,5,7,2,169,12,4,2,3,15,9,1,6,7,153,12,3,5,2,149,13,11,1,4,151,12,1,3,7,160,11,4,4,5,13,10,1,3,10,-1
8,8,0,2,1,3,1,0,0,0,150,12,4,3,1,32,9,0,5,8,108,11,2,7,3,110,10,4,7,4,117,11,5,4,3,136,13,8,3,9,134,11,1,5,3,187,13,7,4,7,178,14,10,1,5,28,9,0,2,14,-1
5,4,3,0,4,1,1,1,0,0,133,12,2,3,2,122,11,4,2,5,147,12,3,4,2,195,11,7,2,4,5,10,5,2,9,162,12,6,3,3,111,11,0,5,7,140,13,5,2,4,106,10,1,7,0,3,9,1,4,3,1
2,0,0,2,0,3,2,0,0,0,160,13,1,1,4,145,12,4,1,1,161,12,0,1,1,144,10,0,6,1,8,8,2,2,1,185,13,2,4,0,159,12,2,0,2,177,13,3,0,2,167,10,3,3,3,15,10,1,0,6,-1
3,4,2,0,9,0,2,0,1,0,133,12,5,1,1,143,13,5,1,5,134,12,7,3,3,157,11,12,3,2,12,11,1,3,15,132,11,2,6,2,103,11,5,5,4,147,11,3,8,2,78,8,1,6,2,4,8,0,5,6,1
2,4,3,0,4,0,1,0,0,0,99,11,1,3,6,126,13,12,0,7,163,13,6,7,3,173,12,5,2,4,29,9,1,4,9,130,11,4,4,0,132,12,7,6,3,173,13,3,4,3,118,10,1,6,4,42,10,1,5,9,1
4,9,1,1,2,3,1,1,0,0,132,12,3,5,0,110,10,2,6,3,153,12,1,2,3,161,11,6,3,4,29,9,0,2,10,161,13,5,1,5,138,11,2,2,4,151,13,7,2,2,184,11,4,3,1,22,9,0,4,8,-1
3,2,0,1,1,5,1,0,0,0,119,12,5,4,4,121,11,7,4,5,154,11,1,6,4,126,10,3,7,3,19,9,1,9,7,181,13,0,4,2,112,12,5,4,10,174,13,7,3,5,168,12,14,3,6,30,10,4,3,18,-1
4,0,3,0,3,3,1,0,0,0,176,13,4,2,2,133,12,11,3,2,119,11,3,5,5,151,10,3,9,6,12,9,4,3,9,162,13,3,4,2,65,10,3,8,9,186,14,6,1,3,143,11,10,3,2,22,10,0,9,12,1
5,0,0,0,0,0,0,0,0,0,17,3,0,0,0,20,3,0,0,0,12,3,1,0,0,19,3,0,1,1,4,3,1,0,0,5,3,0,0,0,0,1,0,0,0,17,3,0,1,0,8,2,0,1,0,0,3,1,0,0,1
1,6,0,0,1,5,0,1,0,0,158,12,2,7,0,105,10,3,3,1,135,11,0,4,1,97,9,0,5,4,35,8,4,3,2,181,13,1,1,2,106,11,6,2,6,120,12,5,1,3,159,12,7,2,7,9,10,3,3,12,-1
7,5,2,0,4,1,1,1,0,0,212,14,7,2,1,132,12,2,5,4,133,11,4,6,5,153,11,10,4,9,23,10,2,4,14,118,12,7,4,6,119,11,9,4,5,160,12,3,2,8,120,10,0,8,7,8,9,2,7,9,1
8,2,0,1,2,2,1,0,0,0,141,11,2,5,6,109,12,5,7,3,90,10,5,6,2,162,11,7,6,4,6,10,2,2,11,172,13,2,3,6,139,12,6,6,7,137,12,9,4,2,138,12,7,4,8,26,10,2,4,15,-1
7,8,1,1,4,4,1,1,0,0,169,13,5,2,6,136,12,8,2,4,140,12,2,3,8,163,12,10,6,5,7,9,1,8,14,174,13,0,5,1,138,12,5,4,10,133,11,10,3,4,155,11,4,7,5,17,9,2,7,11,-1
7,4,1,1,5,1,0,1,0,0,107,11,1,5,1,103,13,15,3,7,184,13,3,2,4,152,12,12,4,8,20,10,5,7,11,147,12,4,5,2,83,10,6,5,2,116,11,3,7,6,136,12,7,10,5,9,9,1,9,8,1
6,9,0,2,3,5,2,0,0,0,136,12,4,5,4,157,12,7,2,3,162,13,5,2,0,141,11,3,8,3,7,11,1,2,10,158,12,6,6,1,125,12,3,4,6,171,13,3,2,4,204,13,7,4,2,27,10,1,5,9,1
7,1,2,0,4,0,1,0,0,0,113,12,3,2,3,116,11,7,1,2,123,11,7,3,4,142,10,4,3,4,21,8,2,2,9,131,10,2,6,1,95,10,4,6,1,135,10,4,3,1,134,9,1,4,2,2,8,0,4,4,1
9,3,1,1,9,1,1,0,2,0,185,13,4,2,2,92,11,3,2,7,164,12,8,2,2,150,11,4,4,4,17,9,2,3,9,141,11,1,5,0,115,11,2,4,4,123,10,6,5,3,119,10,4,4,2,25,8,0,3,6,1
1,7,1,1,4,3,0,1,0,0,130,11,4,9,0,117,11,1,5,8,140,12,12,3,8,147,11,5,2,8,24,9,0,2,13,129,13,8,4,3,104,11,3,5,3,117,12,5,4,5,168,11,3,4,3,1,8,2,5,6,1
